,nome,imagem,coordenadas,localidade,informação,data_criacao
37,Teatro Clube de Esposende,http://commons.wikimedia.org/wiki/Special:FilePath/Museu%20de%20Esposende.JPG,Point(-8.780919 41.530726),"Esposende, Marinhas e Gandra",http://www.google.com/search?q=Teatro%20Clube%20de%20Esposende,Desconhecida
38,Calouste Gulbenkian Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Museo%20Calouste%20Gulbenkian.jpg,Point(-9.154166666 38.736666666),Lisbon,https://gulbenkian.pt/museu/en/,1960-01-01T00:00:00Z
39,Museu Nacional de Arte Antiga,http://commons.wikimedia.org/wiki/Special:FilePath/MNAA.jpg,Point(-9.161813 38.704626),Estrela,http://mnaa.imc-ip.pt,1884-01-01T00:00:00Z
40,Museu do Caramulo,http://commons.wikimedia.org/wiki/Special:FilePath/Portugal%20Caramulo%20Museumsgeb%C3%A4ude.JPG,Point(-8.171719 40.569814),Guardão,http://www.museu-caramulo.net,1959-01-01T00:00:00Z
41,Fábrica de Porcelanas Vista Alegre,http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20alegre.jpg,Point(-8.683741 40.589181),Ílhavo (São Salvador),http://www.myvistaalegre.com/,1824-01-01T00:00:00Z
42,Palácio Nacional de Mafra,http://commons.wikimedia.org/wiki/Special:FilePath/Mafra%20May%202013-2.jpg,Point(-9.326395 38.936922),Mafra,http://www.google.com/search?q=Palácio%20Nacional%20de%20Mafra,Desconhecida
43,Sé Nova de Coimbra,http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A9%20Nova%20de%20Coimbra%20-%20Fachada%20principal%20%282%29.jpg,Point(-8.424444 40.209444),"Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",http://www.google.com/search?q=Sé%20Nova%20de%20Coimbra,1640-01-01T00:00:00Z
44,Paço Episcopal do Porto,http://commons.wikimedia.org/wiki/Special:FilePath/Paco%20Episcopal%20%28Porto%29.JPG,Point(-8.6116 41.142),"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",http://www.google.com/search?q=Paço%20Episcopal%20do%20Porto,Desconhecida
45,Museu da Electricidade,http://commons.wikimedia.org/wiki/Special:FilePath/Pla%C3%A7a%20del%20carb%C3%B3.JPG,Point(-9.196111111 38.695555555),Lisbon,https://www.fundacaoedp.pt,1990-01-01T00:00:00Z
46,Museu de Marinha de Lisboa,http://commons.wikimedia.org/wiki/Special:FilePath/2002-10-26%2011-15%20%28Andalusien%20%26%20Lissabon%20268%29%20Lissabon%2C%20Bel%C3%A9m%2C%20Mosteiro%20dos%20Jer%C3%B3nimos.jpg,Point(-9.20813889 38.69709722),Lisbon,https://ccm.marinha.pt/pt/museu,1863-01-01T00:00:00Z
47,Mosteiro de São Vicente de Fora,http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20e%20Mosteiro%20de%20S%C3%A3o%20Vicente%20de%20Fora.jpg,Point(-9.127777777 38.714722222),São Vicente,http://www.google.com/search?q=Mosteiro%20de%20São%20Vicente%20de%20Fora,1147-01-01T00:00:00Z
48,Museu Municipal Leonel Trindade de Torres Vedras,http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20e%20Convento%20da%20Gra%C3%A7a%20%28Torres%20Vedras%29.jpg,Point(-9.25913889 39.09015556),"Santa Maria, São Pedro e Matacães",http://www.cm-tvedras.pt/viver/cultura/museu-municipal/,1929-01-01T00:00:00Z
49,Museu de Fotografia da Madeira,http://commons.wikimedia.org/wiki/Special:FilePath/Museu%20de%20Fotografia%20da%20Madeira%2C%20Funchal%2C%20Madeira%20-%20IMG%207295.jpg,Point(-16.91031 32.648915),Sé,http://photographiamuseuvicentes.gov-madeira.pt/,1848-01-01T00:00:00Z
50,Museu do Design e da Moda,http://commons.wikimedia.org/wiki/Special:FilePath/MUDE%20-%20Lisbon.jpg,Point(-9.137039 38.709189),Lisbon,http://www.mude.pt/,Desconhecida
51,Church of Saint Amaro (Beja),http://commons.wikimedia.org/wiki/Special:FilePath/BejaSantoAmaro2.jpg,Point(-7.866212 38.017702),Beja (Santiago Maior e São João Baptista),http://www.museuregionaldebeja.pt/?page_id=30,Desconhecida
52,Museu Nacional do Azulejo,http://commons.wikimedia.org/wiki/Special:FilePath/Madre%20Deus%20December%202012-3.jpg,Point(-9.11389 38.7244),Lisbon,http://mnazulejo.imc-ip.pt/,1960-01-01T00:00:00Z
53,Quinta da Regaleira,http://commons.wikimedia.org/wiki/Special:FilePath/PALACIO%20DA%20REGALEIRA%20II.jpg,Point(-9.39603056 38.79635278),"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",http://www.regaleira.pt,1697-01-01T00:00:00Z
54,Museu Municipal de Etnografia e História da Póvoa de Varzim,http://commons.wikimedia.org/wiki/Special:FilePath/Museu%20da%20Povoa.JPG,Point(-8.758211135 41.380550384),"União das Freguesias da Póvoa de Varzim, Beiriz e Argivai",http://www.google.com/search?q=Museu%20Municipal%20de%20Etnografia%20e%20História%20da%20Póvoa%20de%20Varzim,1937-01-01T00:00:00Z
55,Museu da Terra de Miranda,http://commons.wikimedia.org/wiki/Special:FilePath/At%20the%20main%20square%20I%20%2850958715016%29.jpg,Point(-6.274312 41.494315),Miranda do Douro,https://culturanorte.gov.pt/pt/patrimonio/museu-da-terra-de-miranda/,Desconhecida
56,Museu de Cinema de Melgaço,http://commons.wikimedia.org/wiki/Special:FilePath/Cinema%20Melgaco%202.jpg,Point(-8.26 42.114444444),Melgaço,http://www.google.com/search?q=Museu%20de%20Cinema%20de%20Melgaço,2005-06-03T00:00:00Z
57,Museu de Cinema de Melgaço,http://commons.wikimedia.org/wiki/Special:FilePath/Cinema%20Melgaco%202.jpg,Point(-8.26 42.11458333),Melgaço,http://www.google.com/search?q=Museu%20de%20Cinema%20de%20Melgaço,2005-06-03T00:00:00Z
58,Museu de Cinema de Melgaço,http://commons.wikimedia.org/wiki/Special:FilePath/Cinema%20Melgaco%202.jpg,Point(-8.26 42.114444444),Alto Minho Subregion,http://www.google.com/search?q=Museu%20de%20Cinema%20de%20Melgaço,2005-06-03T00:00:00Z
59,Museu de Cinema de Melgaço,http://commons.wikimedia.org/wiki/Special:FilePath/Cinema%20Melgaco%202.jpg,Point(-8.26 42.11458333),Alto Minho Subregion,http://www.google.com/search?q=Museu%20de%20Cinema%20de%20Melgaço,2005-06-03T00:00:00Z
60,Palácio de São Lourenço,http://commons.wikimedia.org/wiki/Special:FilePath/Pal%C3%A1cio%20de%20S%C3%A3o%20Louren%C3%A7o%2C%20Funchal%2C%20Madeira%20-%20IMG%202614.jpg,Point(-16.910197 32.647205),Sé,http://www.google.com/search?q=Palácio%20de%20São%20Lourenço,1490-01-01T00:00:00Z
61,Muralha primitiva,http://commons.wikimedia.org/wiki/Special:FilePath/Muralha%20Primitiva%20%28Porto%29.JPG,Point(-8.6105 41.143),"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",http://www.google.com/search?q=Muralha%20primitiva,Desconhecida
62,Paço Ducal de Vila Viçosa,http://commons.wikimedia.org/wiki/Special:FilePath/Vila%20Vi%C3%A7osa%20September%202013-5a.jpg,Point(-7.42193611 38.78244444),Nossa Senhora da Conceição e São Bartolomeu,http://www.fcbraganca.pt/,Desconhecida
63,Casa Fernando Pessoa,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Fernando%20Pessoa.jpg,Point(-9.16244 38.71663),Campo de Ourique,http://casafernandopessoa.cm-lisboa.pt/,1993-01-01T00:00:00Z
64,Museu da Água (Lisbon),http://commons.wikimedia.org/wiki/Special:FilePath/Museu%20da%20%C3%81gua.JPG,Point(-9.119167 38.719167),Lisbon,http://museudaagua.epal.pt/museudaagua/,1967-01-01T00:00:00Z
65,Nogueira da Silva Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Museunogueirasilvabraga.jpg,Point(-8.421791 41.551911),Braga,http://www.mns.uminho.pt/,1975-01-01T00:00:00Z
66,Pius XII Museum,http://commons.wikimedia.org/wiki/Special:FilePath/800px-Museu%20Pio%20XII.JPG,Point(-8.426 41.5484),"Braga (Maximinos, Sé e Cividade)",http://www.museupioxii.com/,1957-01-01T00:00:00Z
67,Museu Rafael Bordalo Pinheiro,http://commons.wikimedia.org/wiki/Special:FilePath/Museu%20Bordalo%20Pinheiro.jpg,Point(-9.1542 38.7589),Alvalade,http://museubordalopinheiro.cm-lisboa.pt,Desconhecida
68,Museu Rafael Bordalo Pinheiro,http://commons.wikimedia.org/wiki/Special:FilePath/Museu%20Bordalo%20Pinheiro.jpg,Point(-9.1542 38.7589),Alvalade,http://museubordalopinheiro.pt,Desconhecida
69,Stringed Instruments Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Museu%20dos%20Cordofones%20%2819%29.jpg,Point(-8.4725 41.488333333),Braga,http://www.google.com/search?q=Stringed%20Instruments%20Museum,1995-09-22T00:00:00Z
70,Stringed Instruments Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Museu%20dos%20Cordofones%20%2819%29.jpg,Point(-8.4725 41.488333333),Tebosa,http://www.google.com/search?q=Stringed%20Instruments%20Museum,1995-09-22T00:00:00Z
71,Museu da Farmácia,http://commons.wikimedia.org/wiki/Special:FilePath/ANF1975.jpg,Point(-9.147351 38.71009),Misericórdia,http://www.museudafarmacia.pt,Desconhecida
72,Alfândega Nova,http://commons.wikimedia.org/wiki/Special:FilePath/Porto%20-%20Alf%C3%A2ndega.jpg,Point(-8.62165 41.143152777),"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",http://www.google.com/search?q=Alfândega%20Nova,Desconhecida
