,nome,coordenadas,localiza__oLabel,imagem,DGPC_ID,informação
493,Convento dos Grilos,Point(-8.61239722 41.14197222),"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20de%20S%C3%A3o%20Louren%C3%A7o%20Grilos%20%2842141966264%29.jpg,70400.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70400
494,Convento do Monte Calvário,Point(-7.914302 38.575147),"União das Freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",http://commons.wikimedia.org/wiki/Special:FilePath/AD008324.jpg,69789.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69789
495,Convento do Menino Deus,Point(-9.1311653 38.7135653),Santa Maria Maior,http://commons.wikimedia.org/wiki/Special:FilePath/BAR000278%20-%20Igreja%20do%20Menino%20Deus.%20Pormenor%20da%20fachada%20principal.jpg,70522.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70522
496,Convento do Louriçal,Point(-8.736434 40.003626),Louriçal,http://commons.wikimedia.org/wiki/Special:FilePath/Convento%20do%20Louri%C3%A7al.JPG,70369.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70369
497,Convento de São João de Tarouca,Point(-7.74583333 40.99472222),São João de Tarouca,http://commons.wikimedia.org/wiki/Special:FilePath/KlosterTarouca101.JPG,70414.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70414
498,Convento de São João de Tarouca,Point(-7.74583333 40.99472222),São João de Tarouca,http://commons.wikimedia.org/wiki/Special:FilePath/SJTarouca2.jpg,70414.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70414
499,Convento de São Francisco (Santarém),Point(-8.68401 39.23911),"Santarém (Marvila), Santa Iria da Ribeira de Santarém, Santarém (São Salvador) e Santarém (São Nicolau)",http://commons.wikimedia.org/wiki/Special:FilePath/20120610%20InaugRosaceaConvtSFranciscoSantarem.jpg,69797.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69797
500,Convento de São Francisco (Alenquer),Point(-9.012117 39.053096),Alenquer (Santo Estêvão e Triana),http://commons.wikimedia.org/wiki/Special:FilePath/Convento%20de%20S.%20Francisco%20-%20Alenquer%20%28%20Portugal%20%293.jpg,69803.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69803
501,Convento de São Bernardo (Portalegre),Point(-7.42666667 39.29638889),Sé e São Lourenço,http://commons.wikimedia.org/wiki/Special:FilePath/Mosteiro%20de%20Sao%20Bernardo%20%28Portalegre%29.jpg,71143.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/71143
502,Convento de São Bento de Cástris (Évora),Point(-7.934529 38.584145),Malagueira e Horta das Figueiras,http://commons.wikimedia.org/wiki/Special:FilePath/AD004029.jpg,69780.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69780
